item,apresentacao,quantidade,validade
LÂMINA DE BISTURI N 12,Caixa com 100,6,11/2026
LARINGOSCÓPIO,Unidade,2,
"LENÇOL DE BORRACHA CAIXA 13,5x13,5cm (Médio)",Caixa com 26,132,08/2024
LENÇOL DESCARTÁVEL 40MX50CM,Rolo,0,
LIDOCAÍNA 2% COM EPINEFRINA,Caixa com 50 tubetes,0,02/2027
LIMA DE USO ODONTOLÓGICO DE AÇO TIPO KERR Nº20,Caixa com 6,2,06/2027
LIMA DE USO ODONTOLÓGICO DE AÇO TIPO KERR Nº25,Caixa com 6,2,11/2027
LOCALIZADOR APICAL PARA ENDODONTIA (MICRO MEGA),Unidade,1,
LUBRIFICANTE PARA INSTRUMENTOS ODONTOLÓGICOS,Unidade,6,09/2030
LUBRIFICANTE PARA INSTRUMENTOS ODONTOLÓGICOS,Unidade,6,12/2030
LUVA DE PROCEDIMENTO M DE VINIL,Caixa com 100,79,06/2028
LUVA DE PROCEDIMENTO NITRÍLICA P,Caixa com 100,0,
LUVA DE PROCEDIMENTO P,Caixa com 100,0,07/2028
LUVA DE PROCEDIMENTO P DE VINIL,Caixa com 100,0,05/2029
LUVA DE PROCEDIMENTO PP,Caixa com 100,57,06/2028
LUVA DE PROCEDIMENTO PP,Caixa com 100,90,08/2028
LUVA DE PROCEDIMENTO M,Caixa com 100,34,11/2030
LUVA DE PROCEDIMENTO G,Caixa com 100,9,06/2030
"LUVA ESTÉRIL 7,0",Pares,58,07/2030
"LUVA ESTÉRIL 7,5",Pares,50,09/2029
"LUVA ESTÉRIL 7,5",Pares,0,08/2030
"LUVA ESTÉRIL 7,5",Pares,0,12/2030
"LUVA ESTÉRIL 8,0",Pares,150,10/2025
"LUVA ESTÉRIL 8,0",Pares,40,09/2029
"LUVA ESTÉRIL 8,0",Pares,40,07/2030
LUVA PLÁSTICA TAMANHO ÚNICO AMBIDESTRA (DESCARTÁVEL),Pacote com 100,148,
MARTELO DEJERINE P/ REFLEXOS 20 CM,Unidade,3,
MÁSCARA PPF2,Unidade,752,07/2024
MÁSCARA TRIPLA DESCARTÁVEL,Caixa com 50,107,03/2026
MATRIZ ODONTOLÓGICA DE AÇO TIPO PRÉ CONTORNADA CLASSE II FORMATO SECCIONADA,Caixa com 50,2,
MATRIZ EM AÇO PREMOLAR,Caixa com 20,1,04/2026
MATRIZ EM AÇO PREMOLAR,Caixa com 20,1,06/2026
MATRIZ EM AÇO PREMOLAR,Caixa com 20,4,04/2026
MEDIDOR DE GLICEMIA,Unidade,7,
MEDIDOR DE PRESSÃO E GORDURA CORPORAL,Unidade,1,
MEPIVACAÍNA 2% com epinefrina,Caixa c/ 50 tubetes,0,02/2027
MICROAPLICADOR DESCARTÁVEL EXTRA FINO (LARANJA),Caixa com 100,27,06/2024
MICROAPLICADOR DESCARTÁVEL FINO (AZUL),Caixa com 100,30,06/2024
MICROAPLICADOR DESCARTÁVEL FINO (AZUL),Caixa com 100,28,12/2026
MICROAPLICADOR DESCARTÁVEL REGULAR (VERDE),Caixa com 100,39,11/2024
MICROPIPETA 1 a 10ml,Unidade,1,
MICROSCOPE SLIDES,Caixa com 50,1,
MOTOR CIRÚRGICO ODONTOLÓGICO TK40,Unidade,0,
